TripDuration,StartTime,StopTime,StartStationID,StartStationName,StartStationLatitude,StartStationLongitude,EndStationID,EndStationName,EndStationLatitude,EndStationLongitude,BikeID,UserType,BirthYear,Gender
1142,8/1/2014 0:00,8/1/2014 0:19,470,W 20 St & 8 Ave,40.74345335,-74.00004031,312,Allen St & E Houston St,40.722055,-73.989111,19117,Subscriber,1969,1
117,8/1/2014 0:00,8/1/2014 0:02,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,432,E 7 St & Avenue A,40.72621788,-73.98379855,20549,Subscriber,1991,1
546,8/1/2014 0:00,8/1/2014 0:09,224,Spruce St & Nassau St,40.71146364,-74.00552427,340,Madison St & Clinton St,40.71269042,-73.98776323,15997,Subscriber,1984,1
2126,8/1/2014 0:00,8/1/2014 0:35,150,E 2 St & Avenue C,40.7208736,-73.98085795,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,21437,Subscriber,1988,1
329,8/1/2014 0:00,8/1/2014 0:05,519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,477,W 41 St & 8 Ave,40.75640548,-73.9900262,16693,Subscriber,1981,1
308,8/1/2014 0:00,8/1/2014 0:05,477,W 41 St & 8 Ave,40.75640548,-73.9900262,478,11 Ave & W 41 St,40.76030096,-73.99884222,19797,Subscriber,1958,1
648,8/1/2014 0:00,8/1/2014 0:11,2012,E 27 St & 1 Ave,40.739445,-73.976806,2012,E 27 St & 1 Ave,40.739445,-73.976806,21209,Customer,\N,0
438,8/1/2014 0:00,8/1/2014 0:08,228,E 48 St & 3 Ave,40.7546011,-73.97187886,153,E 40 St & 5 Ave,40.75206231,-73.9816324,21501,Subscriber,1980,1
515,8/1/2014 0:00,8/1/2014 0:09,127,Barrow St & Hudson St,40.73172428,-74.00674436,483,E 12 St & 3 Ave,40.73223272,-73.98889957,18836,Subscriber,1986,1
673,8/1/2014 0:00,8/1/2014 0:11,514,12 Ave & W 40 St,40.76087502,-74.00277668,530,11 Ave & W 59 St,40.771522,-73.990541,20333,Subscriber,1985,1
214,8/1/2014 0:00,8/1/2014 0:04,334,W 20 St & 7 Ave,40.74238787,-73.99726235,482,W 15 St & 7 Ave,40.73935542,-73.99931783,19758,Subscriber,1957,1
641,8/1/2014 0:00,8/1/2014 0:11,345,W 13 St & 6 Ave,40.73649403,-73.99704374,174,E 25 St & 1 Ave,40.7381765,-73.97738662,14679,Subscriber,1974,1
512,8/1/2014 0:01,8/1/2014 0:09,407,Henry St & Poplar St,40.700469,-73.991454,243,Fulton St & Rockwell Pl,40.688226,-73.979382,14745,Subscriber,1978,1
662,8/1/2014 0:01,8/1/2014 0:12,445,E 10 St & Avenue A,40.72740794,-73.98142006,476,E 31 St & 3 Ave,40.74394314,-73.97966069,17858,Subscriber,1983,1
237,8/1/2014 0:01,8/1/2014 0:05,257,Lispenard St & Broadway,40.71939226,-74.00247214,361,Allen St & Hester St,40.71605866,-73.99190759,20699,Subscriber,1991,1
1440,8/1/2014 0:01,8/1/2014 0:25,515,W 43 St & 10 Ave,40.76009437,-73.99461843,355,Bayard St & Baxter St,40.71602118,-73.99974372,14722,Subscriber,1989,1
243,8/1/2014 0:01,8/1/2014 0:05,293,Lafayette St & E 8 St,40.73028666,-73.9907647,432,E 7 St & Avenue A,40.72621788,-73.98379855,15702,Subscriber,1978,2
416,8/1/2014 0:01,8/1/2014 0:08,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,476,E 31 St & 3 Ave,40.74394314,-73.97966069,20150,Subscriber,1972,1
634,8/1/2014 0:01,8/1/2014 0:12,462,W 22 St & 10 Ave,40.74691959,-74.00451887,368,Carmine St & 6 Ave,40.73038599,-74.00214988,18534,Subscriber,1977,1
414,8/1/2014 0:01,8/1/2014 0:08,3002,South End Ave & Liberty St,40.711512,-74.015756,337,Old Slip & Front St,40.7037992,-74.00838676,14703,Subscriber,1981,1
556,8/1/2014 0:01,8/1/2014 0:10,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,79,Franklin St & W Broadway,40.71911552,-74.00666661,15378,Subscriber,1964,1
863,8/1/2014 0:01,8/1/2014 0:16,368,Carmine St & 6 Ave,40.73038599,-74.00214988,401,Allen St & Rivington St,40.72019576,-73.98997825,15737,Subscriber,1982,1
621,8/1/2014 0:01,8/1/2014 0:12,160,E 37 St & Lexington Ave,40.748238,-73.978311,297,E 15 St & 3 Ave,40.734232,-73.986923,20601,Subscriber,1980,1
634,8/1/2014 0:01,8/1/2014 0:12,511,E 14 St & Avenue B,40.72938685,-73.97772429,345,W 13 St & 6 Ave,40.73649403,-73.99704374,15024,Subscriber,1987,1
686,8/1/2014 0:02,8/1/2014 0:13,276,Duane St & Greenwich St,40.71748752,-74.0104554,346,Bank St & Hudson St,40.73652889,-74.00618026,14787,Subscriber,1967,1
375,8/1/2014 0:02,8/1/2014 0:08,479,9 Ave & W 45 St,40.76019252,-73.9912551,478,11 Ave & W 41 St,40.76030096,-73.99884222,19994,Subscriber,1971,1
898,8/1/2014 0:02,8/1/2014 0:17,311,Norfolk St & Broome St,40.7172274,-73.98802084,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,16526,Subscriber,1983,1
935,8/1/2014 0:02,8/1/2014 0:18,476,E 31 St & 3 Ave,40.74394314,-73.97966069,473,Rivington St & Chrystie St,40.72110063,-73.9919254,16383,Subscriber,1974,1
944,8/1/2014 0:02,8/1/2014 0:18,401,Allen St & Rivington St,40.72019576,-73.98997825,127,Barrow St & Hudson St,40.73172428,-74.00674436,19863,Subscriber,1974,2
191,8/1/2014 0:02,8/1/2014 0:05,301,E 2 St & Avenue B,40.72217444,-73.98368779,393,E 5 St & Avenue C,40.72299208,-73.97995466,20025,Subscriber,1960,1
323,8/1/2014 0:02,8/1/2014 0:08,434,9 Ave & W 18 St,40.74317449,-74.00366443,238,Bank St & Washington St,40.7361967,-74.00859207,15136,Customer,\N,0
1117,8/1/2014 0:02,8/1/2014 0:21,326,E 11 St & 1 Ave,40.72953837,-73.98426726,455,1 Ave & E 44 St,40.75001986,-73.96905301,15960,Customer,\N,0
302,8/1/2014 0:03,8/1/2014 0:08,301,E 2 St & Avenue B,40.72217444,-73.98368779,393,E 5 St & Avenue C,40.72299208,-73.97995466,17790,Subscriber,1995,2
2714,8/1/2014 0:03,8/1/2014 0:48,427,Bus Slip & State St,40.701907,-74.013942,534,Water - Whitehall Plaza,40.70255065,-74.0127234,19328,Subscriber,1974,1
445,8/1/2014 0:03,8/1/2014 0:10,483,E 12 St & 3 Ave,40.73223272,-73.98889957,428,E 3 St & 1 Ave,40.72467721,-73.98783413,18938,Subscriber,1990,1
118,8/1/2014 0:03,8/1/2014 0:05,482,W 15 St & 7 Ave,40.73935542,-73.99931783,334,W 20 St & 7 Ave,40.74238787,-73.99726235,18958,Subscriber,1986,1
503,8/1/2014 0:03,8/1/2014 0:11,325,E 19 St & 3 Ave,40.73624527,-73.98473765,440,E 45 St & 3 Ave,40.75255434,-73.97282625,19329,Subscriber,1972,1
743,8/1/2014 0:03,8/1/2014 0:15,507,E 25 St & 2 Ave,40.73912601,-73.97973776,401,Allen St & Rivington St,40.72019576,-73.98997825,16140,Subscriber,1990,1
414,8/1/2014 0:03,8/1/2014 0:10,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,357,E 11 St & Broadway,40.73261787,-73.99158043,20821,Subscriber,1988,1
187,8/1/2014 0:03,8/1/2014 0:06,358,Christopher St & Greenwich St,40.73291553,-74.00711384,116,W 17 St & 8 Ave,40.74177603,-74.00149746,18719,Subscriber,1986,1
670,8/1/2014 0:03,8/1/2014 0:14,173,Broadway & W 49 St,40.76064679,-73.98442659,509,9 Ave & W 22 St,40.7454973,-74.00197139,15063,Subscriber,1961,2
740,8/1/2014 0:03,8/1/2014 0:16,450,W 49 St & 8 Ave,40.76227205,-73.98788205,462,W 22 St & 10 Ave,40.74691959,-74.00451887,15254,Subscriber,1972,1
1074,8/1/2014 0:03,8/1/2014 0:21,432,E 7 St & Avenue A,40.72621788,-73.98379855,223,W 13 St & 7 Ave,40.73781509,-73.99994661,16158,Subscriber,1980,1
423,8/1/2014 0:04,8/1/2014 0:11,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,428,E 3 St & 1 Ave,40.72467721,-73.98783413,21033,Subscriber,1978,1
384,8/1/2014 0:04,8/1/2014 0:10,518,E 39 St & 2 Ave,40.74780373,-73.9734419,461,E 20 St & 2 Ave,40.73587678,-73.98205027,21365,Subscriber,1988,2
998,8/1/2014 0:04,8/1/2014 0:20,293,Lafayette St & E 8 St,40.73028666,-73.9907647,501,FDR Drive & E 35 St,40.744219,-73.97121214,19279,Subscriber,1976,1
1363,8/1/2014 0:04,8/1/2014 0:26,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,128,MacDougal St & Prince St,40.72710258,-74.00297088,15809,Subscriber,1986,1
1458,8/1/2014 0:04,8/1/2014 0:28,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,17107,Subscriber,1987,1
212,8/1/2014 0:04,8/1/2014 0:07,401,Allen St & Rivington St,40.72019576,-73.98997825,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,19063,Subscriber,1985,2
1104,8/1/2014 0:04,8/1/2014 0:22,426,West St & Chambers St,40.71754834,-74.01322069,453,W 22 St & 8 Ave,40.74475148,-73.99915362,21196,Subscriber,1963,1
544,8/1/2014 0:04,8/1/2014 0:13,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,278,Concord St & Bridge St,40.69766564,-73.98476437,14947,Subscriber,1978,1
406,8/1/2014 0:04,8/1/2014 0:11,444,Broadway & W 24 St,40.7423543,-73.98915076,461,E 20 St & 2 Ave,40.73587678,-73.98205027,17942,Subscriber,1983,1
