TripDuration,StartTime,StopTime,StartStationID,StartStationName,StartStationLatitude,StartStationLongitude,EndStationID,EndStationName,EndStationLatitude,EndStationLongitude,BikeID,UserType,BirthYear,Gender
382,2/1/2014 0:00,2/1/2014 0:06,294,Washington Square E,40.73049393,-73.9957214,265,Stanton St & Chrystie St,40.72229346,-73.99147535,21101,Subscriber,1991,1
372,2/1/2014 0:00,2/1/2014 0:06,285,Broadway & E 14 St,40.73454567,-73.99074142,439,E 4 St & 2 Ave,40.7262807,-73.98978041,15456,Subscriber,1979,2
591,2/1/2014 0:00,2/1/2014 0:10,247,Perry St & Bleecker St,40.73535398,-74.00483091,251,Mott St & Prince St,40.72317958,-73.99480012,16281,Subscriber,1948,2
583,2/1/2014 0:00,2/1/2014 0:10,357,E 11 St & Broadway,40.73261787,-73.99158043,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,17400,Subscriber,1981,1
223,2/1/2014 0:00,2/1/2014 0:04,401,Allen St & Rivington St,40.72019576,-73.98997825,439,E 4 St & 2 Ave,40.7262807,-73.98978041,19341,Subscriber,1990,1
541,2/1/2014 0:00,2/1/2014 0:09,152,Warren St & Church St,40.71473993,-74.00910627,331,Pike St & Monroe St,40.71173107,-73.99193043,18674,Subscriber,1990,1
354,2/1/2014 0:01,2/1/2014 0:06,325,E 19 St & 3 Ave,40.73624527,-73.98473765,439,E 4 St & 2 Ave,40.7262807,-73.98978041,16975,Subscriber,1991,1
916,2/1/2014 0:01,2/1/2014 0:16,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,16020,Subscriber,1978,1
277,2/1/2014 0:01,2/1/2014 0:06,375,Mercer St & Bleecker St,40.72679454,-73.99695094,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,18891,Subscriber,1944,1
439,2/1/2014 0:02,2/1/2014 0:09,285,Broadway & E 14 St,40.73454567,-73.99074142,247,Perry St & Bleecker St,40.73535398,-74.00483091,20875,Subscriber,1983,2
959,2/1/2014 0:02,2/1/2014 0:18,518,E 39 St & 2 Ave,40.74780373,-73.9734419,439,E 4 St & 2 Ave,40.7262807,-73.98978041,15263,Subscriber,1969,1
359,2/1/2014 0:02,2/1/2014 0:08,501,FDR Drive & E 35 St,40.744219,-73.97121214,487,E 20 St & FDR Drive,40.73314259,-73.97573881,19377,Subscriber,1986,1
1040,2/1/2014 0:02,2/1/2014 0:19,388,W 26 St & 10 Ave,40.74971775,-74.00295035,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,17271,Subscriber,1981,1
477,2/1/2014 0:02,2/1/2014 0:10,518,E 39 St & 2 Ave,40.74780373,-73.9734419,528,2 Ave & E 31 St,40.74290902,-73.97706058,19366,Subscriber,1990,1
707,2/1/2014 0:02,2/1/2014 0:14,257,Lispenard St & Broadway,40.71939226,-74.00247214,345,W 13 St & 6 Ave,40.73649403,-73.99704374,17757,Subscriber,1962,1
343,2/1/2014 0:03,2/1/2014 0:08,477,W 41 St & 8 Ave,40.75640548,-73.9900262,493,W 45 St & 6 Ave,40.7568001,-73.98291153,19734,Subscriber,1965,1
813,2/1/2014 0:03,2/1/2014 0:16,317,E 6 St & Avenue B,40.72453734,-73.98185424,223,W 13 St & 7 Ave,40.73781509,-73.99994661,18003,Subscriber,1942,1
1491,2/1/2014 0:03,2/1/2014 0:28,527,E 33 St & 1 Ave,40.74315566,-73.97434726,412,Forsyth St & Canal St,40.7158155,-73.99422366,17630,Subscriber,1986,1
