TripDuration,StartTime,StopTime,StartStationID,StartStationName,StartStationLatitude,StartStationLongitude,EndStationID,EndStationName,EndStationLatitude,EndStationLongitude,BikeID,UserType,BirthYear,Gender
1365,9/1/2014 0:07,9/1/2014 0:29,523,W 38 St & 8 Ave,40.75466591,-73.99138152,497,E 17 St & Broadway,40.73704984,-73.99009296,17969,Subscriber,1985,1
691,9/1/2014 0:07,9/1/2014 0:18,358,Christopher St & Greenwich St,40.73291553,-74.00711384,426,West St & Chambers St,40.71754834,-74.01322069,15074,Subscriber,1980,1
924,9/1/2014 0:07,9/1/2014 0:22,518,E 39 St & 2 Ave,40.74780373,-73.9734419,263,Elizabeth St & Hester St,40.71729,-73.996375,16836,Subscriber,1986,1
411,9/1/2014 0:07,9/1/2014 0:14,402,Broadway & E 22 St,40.7403432,-73.98955109,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,14865,Subscriber,1986,1
254,9/1/2014 0:07,9/1/2014 0:12,423,W 54 St & 9 Ave,40.76584941,-73.98690506,479,9 Ave & W 45 St,40.76019252,-73.9912551,15771,Subscriber,1979,1
517,9/1/2014 0:08,9/1/2014 0:16,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,473,Rivington St & Chrystie St,40.72110063,-73.9919254,15393,Subscriber,1973,1
1035,9/1/2014 0:08,9/1/2014 0:25,250,Lafayette St & Jersey St,40.72456089,-73.99565293,486,Broadway & W 29 St,40.7462009,-73.98855723,15952,Customer,,0
674,9/1/2014 0:08,9/1/2014 0:19,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,411,E 6 St & Avenue D,40.72228087,-73.97668709,20741,Subscriber,1970,1
250,9/1/2014 0:08,9/1/2014 0:12,410,Suffolk St & Stanton St,40.72066442,-73.98517977,311,Norfolk St & Broome St,40.7172274,-73.98802084,16865,Subscriber,1967,2
381,9/1/2014 0:08,9/1/2014 0:15,382,University Pl & E 14 St,40.73492695,-73.99200509,404,9 Ave & W 14 St,40.7405826,-74.00550867,16166,Subscriber,1988,1
977,9/1/2014 0:08,9/1/2014 0:25,250,Lafayette St & Jersey St,40.72456089,-73.99565293,486,Broadway & W 29 St,40.7462009,-73.98855723,18740,Customer,,0
517,9/1/2014 0:09,9/1/2014 0:17,263,Elizabeth St & Hester St,40.71729,-73.996375,502,Henry St & Grand St,40.714215,-73.981346,15448,Subscriber,1968,1
124,9/1/2014 0:09,9/1/2014 0:11,461,E 20 St & 2 Ave,40.73587678,-73.98205027,545,E 23 St & 1 Ave,40.736502,-73.97809472,17624,Customer,,0
