TripDuration,StartTime,StopTime,StartStationID,StartStationName,StartStationLatitude,StartStationLongitude,EndStationID,EndStationName,EndStationLatitude,EndStationLongitude,BikeID,UserType,BirthYear,Gender
404,7/1/2014 0:00,7/1/2014 0:06,545,E 23 St & 1 Ave,40.736502,-73.97809472,402,Broadway & E 22 St,40.7403432,-73.98955109,19578,Subscriber,1987,2
850,7/1/2014 0:00,7/1/2014 0:14,238,Bank St & Washington St,40.7361967,-74.00859207,458,11 Ave & W 27 St,40.751396,-74.005226,19224,Subscriber,1987,1
1550,7/1/2014 0:00,7/1/2014 0:26,223,W 13 St & 7 Ave,40.73781509,-73.99994661,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,17627,Subscriber,1973,2
397,7/1/2014 0:00,7/1/2014 0:07,224,Spruce St & Nassau St,40.71146364,-74.00552427,2008,Little West St & 1 Pl,40.70569254,-74.01677685,15304,Subscriber,1982,1
609,7/1/2014 0:00,7/1/2014 0:10,346,Bank St & Hudson St,40.73652889,-74.00618026,521,8 Ave & W 31 St,40.75044999,-73.99481051,20062,Subscriber,1972,2
2245,7/1/2014 0:01,7/1/2014 0:38,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,473,Rivington St & Chrystie St,40.72110063,-73.9919254,20653,Subscriber,1976,1
1323,7/1/2014 0:01,7/1/2014 0:23,501,FDR Drive & E 35 St,40.744219,-73.97121214,501,FDR Drive & E 35 St,40.744219,-73.97121214,21460,Subscriber,1993,1
320,7/1/2014 0:01,7/1/2014 0:06,475,E 16 St & Irving Pl,40.73524276,-73.98758561,116,W 17 St & 8 Ave,40.74177603,-74.00149746,16746,Subscriber,1985,1
2430,7/1/2014 0:01,7/1/2014 0:41,469,Broadway & W 53 St,40.76344058,-73.98268129,445,E 10 St & Avenue A,40.72740794,-73.98142006,19441,Subscriber,1983,1
700,7/1/2014 0:01,7/1/2014 0:13,320,Leonard St & Church St,40.717571,-74.005549,393,E 5 St & Avenue C,40.72299208,-73.97995466,17267,Subscriber,1983,1
907,7/1/2014 0:01,7/1/2014 0:16,501,FDR Drive & E 35 St,40.744219,-73.97121214,501,FDR Drive & E 35 St,40.744219,-73.97121214,21355,Subscriber,1990,1
647,7/1/2014 0:01,7/1/2014 0:12,500,Broadway & W 51 St,40.76228826,-73.98336183,533,Broadway & W 39 St,40.75299641,-73.98721619,15001,Subscriber,1959,2
321,7/1/2014 0:01,7/1/2014 0:07,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,19861,Subscriber,1987,1
1326,7/1/2014 0:01,7/1/2014 0:23,382,University Pl & E 14 St,40.73492695,-73.99200509,525,W 34 St & 11 Ave,40.75594159,-74.0021163,14604,Subscriber,1986,1
454,7/1/2014 0:01,7/1/2014 0:09,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,263,Elizabeth St & Hester St,40.71729,-73.996375,21141,Subscriber,1984,2
653,7/1/2014 0:02,7/1/2014 0:12,504,1 Ave & E 15 St,40.73221853,-73.98165557,334,W 20 St & 7 Ave,40.74238787,-73.99726235,15645,Subscriber,1964,2
600,7/1/2014 0:02,7/1/2014 0:12,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,164,E 47 St & 2 Ave,40.75323098,-73.97032517,14738,Subscriber,1983,1
2543,7/1/2014 0:02,7/1/2014 0:44,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,389,Broadway & Berry St,40.71044554,-73.96525063,15004,Customer,\N,0
270,7/1/2014 0:02,7/1/2014 0:06,317,E 6 St & Avenue B,40.72453734,-73.98185424,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,19425,Subscriber,1990,1
261,7/1/2014 0:02,7/1/2014 0:07,450,W 49 St & 8 Ave,40.76227205,-73.98788205,479,9 Ave & W 45 St,40.76019252,-73.9912551,19764,Subscriber,1951,2
184,7/1/2014 0:02,7/1/2014 0:06,195,Liberty St & Broadway,40.70905623,-74.01043382,415,Pearl St & Hanover Square,40.7047177,-74.00926027,19831,Subscriber,1969,2
1819,7/1/2014 0:03,7/1/2014 0:33,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,19330,Subscriber,1985,2
1071,7/1/2014 0:03,7/1/2014 0:21,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,532,S 5 Pl & S 4 St,40.710451,-73.960876,20340,Subscriber,1990,1
520,7/1/2014 0:03,7/1/2014 0:12,144,Nassau St & Navy St,40.69839895,-73.98068914,217,Old Fulton St,40.70277159,-73.99383605,15454,Subscriber,1983,1
392,7/1/2014 0:03,7/1/2014 0:09,489,10 Ave & W 28 St,40.75066386,-74.00176802,495,W 47 St & 10 Ave,40.76269882,-73.99301222,16316,Subscriber,1985,1
656,7/1/2014 0:03,7/1/2014 0:14,238,Bank St & Washington St,40.7361967,-74.00859207,237,E 11 St & 2 Ave,40.73047309,-73.98672378,14552,Subscriber,1982,1
497,7/1/2014 0:03,7/1/2014 0:11,144,Nassau St & Navy St,40.69839895,-73.98068914,217,Old Fulton St,40.70277159,-73.99383605,20873,Subscriber,1983,1
315,7/1/2014 0:03,7/1/2014 0:08,128,MacDougal St & Prince St,40.72710258,-74.00297088,328,Watts St & Greenwich St,40.72405549,-74.00965965,15719,Subscriber,1962,1
774,7/1/2014 0:03,7/1/2014 0:16,519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,497,E 17 St & Broadway,40.73704984,-73.99009296,21442,Subscriber,1985,1
